,District,Confirmed_Cases,Total_Cases,Total_Deaths,Recovered,Province
1,achham,19,19,0,2,Province 7
2,arghakhanchi,41,41,1,2,Province 5
3,baglung,40,40,0,6,Province 4
4,baitadi,6,6,0,5,Province 7
5,bajhang,15,15,0,0,Province 7
6,bajura,21,21,1,0,Province 7
7,banke,324,324,1,180,Province 5
8,bara,94,94,2,39,Province 2
9,bardiya,100,100,0,3,Province 5
10,bhojpur,6,6,0,1,Province 1
11,chitwan,41,41,1,5,Province 3
12,dadeldhura,39,39,0,6,Province 7
13,dailekh,631,631,1,1,Province 6
14,dang,158,158,0,30,Province 5
15,darchula,12,12,0,1,Province 7
16,dhading,92,92,0,2,Province 3
17,dhankuta,8,8,0,7,Province 1
18,dhanusha,184,184,0,76,Province 2
19,dolakha,2,2,1,1,Province 3
20,dolpa,1,1,1,0,Province 6
21,doti,13,13,0,1,Province 7
22,gorkha,15,15,0,1,Province 4
23,gulmi,27,27,2,3,Province 5
24,humla,1,1,0,1,Province 6
25,illam,2,2,0,0,Province 1
26,jajarkot,8,8,0,0,Province 6
27,jhapa,172,172,0,115,Province 1
28,jumla,26,26,0,16,Province 6
29,kailali,87,87,1,11,Province 7
30,kalikot,28,28,0,0,Province 6
31,kanchanpur,54,54,0,1,Province 7
32,kapilvastu,649,649,1,26,Province 5
33,kaski,5,5,0,1,Province 4
34,kavre,6,6,0,1,Province 3
35,khotang,4,4,0,1,Province 1
36,lamjung,1,1,0,0,Province 4
37,mahottari,210,210,0,3,Province 2
38,makwanpur,6,6,0,4,Province 3
39,morang,93,93,0,3,Province 1
40,mugu,1,1,0,1,Province 6
41,myagdi,3,3,0,0,
42,nawalpur,40,40,0,3,Province 4
43,parasi,50,50,0,3,Province 5
44,nuwakot,10,10,0,1,Province 3
45,palpa,50,50,1,0,Province 5
46,panchthar,2,2,0,1,Province 1
47,parbat,26,26,0,0,Province 4
48,parsa,156,156,1,106,Province 2
49,pyuthan,28,28,0,0,Province 5
50,ramechhap,21,21,0,2,Province 3
51,rautahat,892,892,0,122,Province 2
52,rolpa,38,38,0,0,Province 5
53,east rukum,3,3,0,0,Province 5
54,rupandehi,230,230,0,46,Province 5
55,salyan,139,139,0,0,Province 6
56,sankhuwasabha,2,2,0,0,Province 1
57,saptari,149,149,0,20,Province 2
58,sarlahi,518,518,0,16,Province 2
59,sindhuli,6,6,0,1,Province 3
60,sindhupalchowk,4,4,1,0,Province 3
61,siraha,77,77,0,20,Province 2
62,solukhumbu,1,1,0,1,Province 1
63,sunsari,58,58,0,5,Province 1
64,surkhet,258,258,1,6,Province 6
65,syangja,60,60,1,3,Province 4
66,tanahun,9,9,0,0,Province 4
67,taplejung,4,4,0,3,Province 1
68,terathum,3,3,0,2,Province 1
69,udayapur,44,44,0,28,Province 1
70,kathmandu,34,34,0,24,Province 3
71,bhaktapur,6,6,0,4,Province 3
72,lalitpur,4,4,1,1,Province 3
73,west rukum,1,1,0,0,Province 6
